Li2O,B2O3,Na2O,MgO,Al2O3,SiO2,P2O5,K2O,CaO,TiO2,Fe2O3,ZnO,SrO,Y2O3,ZrO,SnO2,BaO,Tliquidus
0,0,53.70053701,0,0,46.29946299,0,0,0,0,0,0,0,0,0,0,0,1328.15
0,0,53.25053251,0,0,46.74946749,0,0,0,0,0,0,0,0,0,0,0,1334.15
0,0,0,0,0,47.000765,0,52.999235,0,0,0,0,0,0,0,0,0,1184.15
0,0,49.53989756,0,0,43.99078327,0,0,0,0,0,0,6.469319166,0,0,0,0,1313.15
0,0,51.88990114,0,0,46.32084334,0,0,0,0,0,0,1.789255521,0,0,0,0,1343.15
0,0,52.80052801,0,0,47.19947199,0,0,0,0,0,0,0,0,0,0,0,1343.15
0,0,52.68046457,0,8.229690813,39.08984462,0,0,0,0,0,0,0,0,0,0,0,1438.15
0,0,52.56410256,0,7.891246684,39.54465075,0,0,0,0,0,0,0,0,0,0,0,1353.15
0,0,45.82956552,0,0,41.24072399,0,0,12.92971049,0,0,0,0,0,0,0,0,1308.15
0,0,46.88530279,0,0,42.31592342,0,0,10.79877379,0,0,0,0,0,0,0,0,1240.15
0,0,52.45087998,0,7.559834245,39.98928577,0,0,0,0,0,0,0,0,0,0,0,1288.15
0,0,52.33018868,0,7.229559748,40.44025157,0,0,0,0,0,0,0,0,0,0,0,1278.15
0,0,49.82125447,0,0,45.61999586,0,0,0,0,0,0,4.558749668,0,0,0,0,1313.15
0,0,52.22016506,0,6.900555434,40.87927951,0,0,0,0,0,0,0,0,0,0,0,1273.15
0,0,0,0,0,47.99976,0,52.00024,0,0,0,0,0,0,0,0,0,1175.15
0,0,52.00024,0,0,47.99976,0,0,0,0,0,0,0,0,0,0,0,1337.15
0,0,51.990625,0,6.25,41.759375,0,0,0,0,0,0,0,0,0,0,0,1248.15
0,0,51.90051901,0,0,48.09948099,0,0,0,0,0,0,0,0,0,0,0,1359.15
0,0,0,0,0,48.5007575,0,51.4992425,0,0,0,0,0,0,0,0,0,1175.15
0,0,43.26456483,0,0,40.51477057,0,0,16.2206646,0,0,0,0,0,0,0,0,1409.15
0,0,45.89466987,0,0,43.31492032,0,0,10.79040981,0,0,0,0,0,0,0,0,1249.15
0,0,50.14965824,0,0,47.67918038,0,0,2.171161378,0,0,0,0,0,0,0,0,1342.15
0,0,51.1002445,0,0,48.8997555,0,0,0,0,0,0,0,0,0,0,0,1366.15
0,0,33.6598317,0,0,48.92975535,0,17.41041295,0,0,0,0,0,0,0,0,0,1185.15
0,0,0,0,0,48.99948999,0,51.00051001,0,0,0,0,0,0,0,0,0,1205.15
0,0,50.8992455,0,0,49.1007545,0,0,0,0,0,0,0,0,0,0,0,1367.15
0,0,14.2201422,0,0,49.20949209,0,36.5703657,0,0,0,0,0,0,0,0,0,1106.15
0,0,0,0,0,0,24.630375,75.369625,0,0,0,0,0,0,0,0,0,1893.15
0,0,21.2593937,0,0,49.49075255,0,29.24985375,0,0,0,0,0,0,0,0,0,1115.15
0,0,50.5002475,0,0,49.4997525,0,0,0,0,0,0,0,0,0,0,0,1370.15
0,0,0,0,0,45.20432237,0,46.05481607,8.740861562,0,0,0,0,0,0,0,0,1298.15
0,0,27.09245815,0,0,49.6250075,0,23.28253435,0,0,0,0,0,0,0,0,0,1131.15
0,0,44.89978888,0,0,44.30980131,0,0,10.79040981,0,0,0,0,0,0,0,0,1256.15
0,0,18.1901362,0,0,49.7600048,0,32.049859,0,0,0,0,0,0,0,0,0,1032.15
0,0,50.22050221,0,0,49.77949779,0,0,0,0,0,0,0,0,0,0,0,1295.15
0,0,37.94587946,0,0,49.84549845,0,12.20862209,0,0,0,0,0,0,0,0,0,1236.15
0,0,50.1192494,0,0,49.8807506,0,0,0,0,0,0,0,0,0,0,0,1363.15
0,0,0,0,0,0,24.01765571,72.26287396,3.719470329,0,0,0,0,0,0,0,0,1883.15
0,0,50.08067013,0,12.97077949,36.94855038,0,0,0,0,0,0,0,0,0,0,0,1693.15
0,0,44.49965334,0,0,44.38987751,0,0,11.11046915,0,0,0,0,0,0,0,0,1262.15
0,0,50.06076694,0,9.909809064,40.02942399,0,0,0,0,0,0,0,0,0,0,0,1393.15
0,0,0,0,0,49.94975025,0,50.05024975,0,0,0,0,0,0,0,0,0,1249.15
