Li2O,B2O3,Na2O,MgO,Al2O3,SiO2,P2O5,K2O,CaO,TiO2,Fe2O3,ZnO,SrO,Y2O3,ZrO,SnO2,BaO,Density293K
0,0,11.17027659,0,0,55.4898902,0,33.3398332,0,0,0,0,0,0,0,0,0,2.5
0,0,33.3398332,0,0,55.4898902,0,11.17027659,0,0,0,0,0,0,0,0,0,2.527
0,0,0,0,0,40.00054,0,29.99973,0,0,0,0,29.99973,0,0,0,0,3.195
0,0,0,0,0,55.5597222,0,44.4402778,0,0,0,0,0,0,0,0,0,2.53
0,0,44.4402778,0,0,55.5597222,0,0,0,0,0,0,0,0,0,0,0,2.54
0,0,44.30608249,0,2.980051401,52.71386611,0,0,0,0,0,0,0,0,0,0,0,2.553
0,0,0,0,0,43.9611381,0,33.62109646,11.20888272,0,0,0,11.20888272,0,0,0,0,2.995
0,0,20,0,0,50.99956351,0,20,0,0,0,9.000436491,0,0,0,0,0,2.659
0,0,39.40983797,0,0,50.4507377,0,0,0,0,0,0,10.13942433,0,0,0,0,2.922
0,0,24.99967501,0,0,35.00032499,0,0,0,0,0,0,0,0,0,40,0,3.467
0,0,35.34056839,0,0,46.18048224,0,0,18.47894937,0,0,0,0,0,0,0,0,2.681
0,0,44.200279,0,0,55.799721,0,0,0,0,0,0,0,0,0,0,0,2.535
0,0,38.97726615,0,0,50.25452652,0,0,10.76820732,0,0,0,0,0,0,0,0,2.667
0,0,39.23944234,0,0,50.61012724,0,0,0,0,0,0,0,0,0,0,10.15043042,3.101
0,0,39.28954618,0,0,50.69160505,0,0,10.01884877,0,0,0,0,0,0,0,0,2.72
0,0,39.44029959,9.698957819,0,50.86074259,0,0,0,0,0,0,0,0,0,0,0,2.486
0,0,43.99928,0,0,56.00072,0,0,0,0,0,0,0,0,0,0,0,2.552
0,0,33.71969908,0,0,44.90944553,0,0,21.37085539,0,0,0,0,0,0,0,0,2.703
0,0,43.8792806,0,0,56.1207194,0,0,0,0,0,0,0,0,0,0,0,2.56
0,0,43.8192809,0,0,56.1807191,0,0,0,0,0,0,0,0,0,0,0,2.541
0,0,43.50125984,0,6.499522669,49.99921749,0,0,0,0,0,0,0,0,0,0,0,2.558
0,0,43.6602817,0,0,56.3397183,0,0,0,0,0,0,0,0,0,0,0,2.544
0,0,0,0,0,44.94419503,0,33.03403895,11.01088301,0,0,0,11.01088301,0,0,0,0,3
0,0,43.5604356,0,0,56.4395644,0,0,0,0,0,0,0,0,0,0,0,2.546
0,0,37.50017969,12.50053906,0,49.99928125,0,0,0,0,0,0,0,0,0,0,0,2.528
0,0,0,0,0,15.51190844,0,0,0,0,84.48809156,0,0,0,0,0,0,4.55
0,0,43.2597837,0,0,56.7207164,0,0.019499903,0,0,0,0,0,0,0,0,0,2.546
0,0,42.7008,0,0,47.2992,0,0,0,0,10,0,0,0,0,0,0,2.767
0,0,42.92525614,0,4.300395013,52.77434885,0,0,0,0,0,0,0,0,0,0,0,2.549
0,0,42.86969253,0,4.119596209,53.01071126,0,0,0,0,0,0,0,0,0,0,0,2.548
0,0,42.71058064,0,5.210386627,52.07903273,0,0,0,0,0,0,0,0,0,0,0,2.536
0,0,36.75054186,0,0,50.33085966,0,0,12.91859848,0,0,0,0,0,0,0,0,2.641
0,0,39.05098303,0,0,52.86004116,0,0,8.088975815,0,0,0,0,0,0,0,0,2.666
0,0,39.25005482,0,0,53.13061911,0,0,0,0,0,0,0,0,0,0,7.619326073,2.963
0,0,39.25986578,0,0,53.16918398,0,0,0,0,0,0,7.570950243,0,0,0,0,2.715
0,0,39.29945155,0,0,53.2095064,0,0,7.491042048,0,0,0,0,0,0,0,0,2.682
0,0,36.27054269,0,0,41.58936528,2.860273172,0,19.27981886,0,0,0,0,0,0,0,0,2.501
0,0,42.8592857,0,0,57.1407143,0,0,0,0,0,0,0,0,0,0,0,2.55
0,0,39.3998829,7.259953162,0,53.34016393,0,0,0,0,0,0,0,0,0,0,0,2.491
0,0,42.4998425,0,7.5001575,50,0,0,0,0,0,0,0,0,0,0,0,2.562
0,0,38.9599965,0,0,52.93130373,0,0,8.108699777,0,0,0,0,0,0,0,0,2.601
0,0,19.0005947,0,29.999374,4.0001252,0,0,46.9999061,0,0,0,0,0,0,0,0,2.58
0,0,41.08598358,0,0,55.30395092,0,0,3.610065503,0,0,0,0,0,0,0,0,2.568
0,0,42.000792,0,15.000165,42.999043,0,0,0,0,0,0,0,0,0,0,0,2.569
0,0,0,0,0,45.9842432,0,32.41279474,10.80148103,0,0,0,10.80148103,0,0,0,0,2.935
0,0,42.6792866,0,0,57.3207134,0,0,0,0,0,0,0,0,0,0,0,2.538
0,0,41.90057995,0,15.70008285,42.3993372,0,0,0,0,0,0,0,0,0,0,0,2.467
0,0,0,0,0,57.5007125,0,42.4992875,0,0,0,0,0,0,0,0,0,2.5
0,0,42.4992875,0,0,57.5007125,0,0,0,0,0,0,0,0,0,0,0,2.537
0,0,36.41002055,0,0,51.03985512,0,0,12.55012432,0,0,0,0,0,0,0,0,2.641
0,0,69.60984761,0,0,0,30.39015239,0,0,0,0,0,0,0,0,0,0,2.174
0,0,42.20006384,0,0,55.79960176,0,0,0,0,2.000334402,0,0,0,0,0,0,2.552
0,0,42.0003421,0,0,52.49965013,0,0,0,0,5.500007775,0,0,0,0,0,0,2.65
0,0,0,0,0,50.0007125,0,34.99964375,0,0,0,0,14.99964375,0,0,0,0,2.834
0,0,0,0,0,50.0007125,0,34.99964375,0,0,0,14.99964375,0,0,0,0,0,2.76
0,0,34.99964375,0,0,50.0007125,0,0,0,0,0,14.99964375,0,0,0,0,0,2.803
0,0,42.00042,0,0,57.99958,0,0,0,0,0,0,0,0,0,0,0,2.535
0,0,0,0,0,46.94944314,0,31.82977656,10.61039015,0,0,0,10.61039015,0,0,0,0,2.885
0,0,0,0,0,45.00054999,0,29.99945001,0,0,0,25,0,0,0,0,0,2.97
0,0,29.99945001,0,0,45.00054999,0,0,0,0,0,25,0,0,0,0,0,3.06
0,0,41.800291,0,0,58.199709,0,0,0,0,0,0,0,0,0,0,0,2.536
0,0,41.7904179,0,0,58.2095821,0,0,0,0,0,0,0,0,0,0,0,2.531
0,0,35.32958142,0,0,51.0804657,0,0,13.58995289,0,0,0,0,0,0,0,0,2.648
0,0,25.65957447,0,0,40.30053191,0,0,34.03989362,0,0,0,0,0,0,0,0,2.8
0,0,0,0,0,20.88522415,0,0,0,0,79.11477585,0,0,0,0,0,0,4.2
0,0,0,0,0,58.299583,0,41.700417,0,0,0,0,0,0,0,0,0,2.486
